orderid   custid    itemid  pieces  datetran  
1694      69921172  28      4       22.12.2013
1695      40460754  3       1       07.08.2013
1696      43698697  10      6       20.10.2013
1697      68933089  35      1       19.06.2013
1698      26130495  45      8       30.08.2013
1699      47555921  20      3       02.12.2014
1700      17025451  38      5       23.02.2013
1701      64842878  2       9       11.10.2013
1702      68283962  2       1       07.11.2014
1703      43700055  59      10      30.01.2013
1704      69690479  1       7       01.09.2013
1705      42865301  4       2       23.02.2014
1706      18510396  17      6       02.10.2014
1707      42949114  24      1       30.09.2014
1708      61115495  55      4       09.01.2014
1709      44915063  57      3       22.02.2014
1710      18269591  43      8       10.03.2014
1711      67416705  45      7       28.12.2014
1712      70221766  6       4       04.08.2014
1713      67588891  18      10      29.07.2014
1714      12191485  51      3       19.03.2013
1715      60316144  42      5       01.08.2014
1716      64818055  23      10      01.06.2014
1717      65837380  50      1       02.08.2014
1718      18083552  40      9       27.07.2013
1719      16381769  15      2       04.05.2013
1720      13863797  19      6       22.08.2014
1721      60953586  45      8       18.06.2014
1722      18622372  18      1       18.11.2013
1723      44074042  11      6       05.05.2013
1724      14735229  28      5       09.02.2013
1725      69416419  19      8       01.04.2014
1726      16767799  54      6       14.09.2013
1727      12276456  55      7       05.07.2013
1728      10419292  29      2       16.12.2013
1729      70356122  18      6       05.05.2013
1730      10419292  9       9       13.11.2014
1731      10433848  20      6       07.07.2013
1732      42633087  29      8       20.11.2014
1733      43165958  8       9       02.02.2014
1734      13252682  22      10      21.11.2014
1735      60657405  41      7       12.12.2014
1736      18812961  2       8       06.05.2013
1737      62215787  28      3       22.11.2014
1738      40682684  21      1       21.01.2013
1739      11029889  5       7       28.10.2013
1740      13004654  47      4       25.09.2014
1741      41406541  24      6       01.12.2014
1742      63531739  57      9       25.11.2013
1743      62558439  2       2       03.06.2014
1744      61115495  24      3       05.08.2014
1745      63079577  25      1       22.10.2014
1746      26273756  43      1       12.07.2013
1747      66024153  24      7       03.05.2014
1748      14894238  46      8       14.03.2014
1749      67864465  35      8       03.04.2013
1750      70740551  17      2       30.05.2014
1751      63619067  2       3       01.06.2013
1752      68973152  51      3       07.12.2013
1753      65225237  48      4       09.01.2014
1754      13863614  1       3       12.03.2014
1755      44402856  22      5       09.01.2014
1756      13857771  47      8       22.06.2013
1757      25033433  20      8       27.11.2013
1758      47659271  50      5       21.01.2013
1759      18502539  26      1       31.05.2014
1760      65181484  7       4       01.01.2014
1761      44557418  54      2       26.08.2013
1762      45312281  17      9       13.03.2014
1763      41923006  46      3       14.07.2013
1764      42131022  19      10      12.06.2014
1765      13815300  50      8       10.11.2013
1766      49969447  9       9       08.11.2014
1767      63847612  58      1       24.05.2014
1768      64977544  20      2       21.09.2014
1769      41542851  43      7       18.09.2014
1770      40139972  53      9       05.01.2014
1771      12743038  3       3       31.07.2013
1772      13857771  27      6       15.03.2013
1773      46824596  4       3       14.01.2014
1774      63079577  8       6       18.04.2013
1775      48103764  46      4       10.04.2013
1776      63417413  7       2       16.06.2014
1777      65755448  60      5       04.06.2014
1778      47346531  19      4       08.01.2013
1779      25003232  24      3       14.10.2014
1780      41178203  30      1       19.03.2014
1781      13250116  54      8       13.01.2014
1782      42096693  59      6       04.07.2014
1783      43875386  28      6       08.07.2013
1784      69846081  3       3       22.01.2014
1785      61405957  19      10      18.04.2013
1786      40789829  6       2       11.11.2013
1787      43806929  23      1       16.07.2014
1788      42865301  50      2       14.02.2014
1789      25757253  43      6       14.08.2014
1790      49822144  8       6       09.11.2014
1791      70672245  7       6       25.02.2013
1792      60188014  45      7       05.08.2014
1793      60273071  11      3       07.06.2014
1794      25237471  11      3       07.12.2014
1795      26130495  56      8       14.11.2013
1796      15190706  38      2       17.02.2013
1797      67614311  47      2       08.06.2014
1798      16610975  32      7       11.12.2013
1799      61859303  43      2       13.06.2014
1800      42830052  58      9       12.01.2014
1801      69311609  39      8       01.04.2014
1802      13266381  5       7       26.11.2014
1803      15665356  41      4       13.03.2013
1804      69212228  32      9       09.07.2014
1805      45854939  4       5       21.09.2013
1806      43113265  47      10      18.05.2013
1807      45678774  48      9       04.10.2013
1808      65925343  40      3       02.11.2013
1809      46824596  4       6       05.03.2013
1810      12907375  1       1       17.05.2014
1811      48966797  49      5       10.09.2014
1812      10043772  40      4       10.03.2013
1813      25860674  54      10      09.12.2013
1814      71046607  47      3       09.03.2013
1815      14735229  18      2       18.06.2013
1816      16317645  1       4       27.04.2013
1817      70868069  37      10      07.07.2013
1818      45678774  41      4       25.07.2014
1819      10146181  30      3       25.03.2013
1820      11220058  35      7       31.01.2014
1821      43883991  49      8       24.02.2013
1822      60789549  20      3       13.03.2014
1823      14242344  24      6       09.06.2013
1824      26135264  34      6       30.12.2013
1825      71693998  1       9       06.07.2014
1826      13922530  24      1       28.10.2013
1827      13175874  49      7       16.05.2013
1828      45627045  1       7       05.03.2014
1829      49451316  43      6       12.06.2014
1830      15353851  13      5       14.09.2014
1831      47118539  11      7       21.03.2014
1832      66495091  41      10      08.06.2014
1833      72810483  41      10      22.10.2014
1834      12169463  16      8       02.10.2013
1835      48761885  18      10      28.07.2013
1836      67382339  35      3       01.09.2013
1837      40299473  40      10      07.08.2013
1838      48340961  22      8       10.12.2013
1839      48493864  17      4       11.07.2013
1840      41828283  23      1       07.04.2014
1841      25003232  48      6       25.05.2014
1842      47745916  55      8       20.01.2013
1843      40292266  43      9       08.04.2013
1844      69069310  48      5       12.04.2013
1845      62677802  24      9       17.02.2014
1846      42760976  16      4       29.07.2013
1847      60894865  44      3       03.05.2013
1848      26273756  9       7       25.01.2014
1849      15477410  40      10      15.07.2014
1850      68939949  22      10      27.06.2014
1851      40758591  56      10      11.04.2014
1852      25601474  51      6       15.01.2014
1853      14685914  49      10      18.02.2013
1854      66024153  23      1       30.05.2013
1855      65253612  6       10      25.07.2014
1856      13212095  59      10      24.12.2013
1857      61284041  36      4       24.10.2014
1858      49088831  40      1       04.03.2014
1859      41327853  25      3       13.01.2013
1860      48804738  59      9       01.12.2013
1861      13611011  27      2       28.07.2013
1862      41394101  46      4       03.06.2013
1863      66099064  52      1       03.06.2013
1864      44915063  20      8       12.05.2014
1865      18269591  41      5       04.12.2013
1866      69951560  48      1       26.07.2013
1867      68933089  48      9       06.08.2013
1868      64573699  38      3       25.12.2013
1869      66483603  21      5       22.02.2014
1870      40006000  25      4       31.08.2013
1871      41173911  53      2       16.02.2013
1872      26543745  47      2       09.06.2014
1873      41713401  23      5       06.11.2014
1874      40973433  29      7       28.02.2013
1875      00527815  10      2       12.05.2013
1876      40807606  51      10      22.11.2014
1877      69545596  3       2       22.04.2014
1878      47107251  46      7       13.03.2013
1879      13506731  17      2       17.03.2013
1880      18541372  16      8       26.07.2013
1881      15240088  51      5       14.05.2013
1882      66048711  17      10      21.07.2013
1883      70673667  59      8       08.10.2014
1884      64197735  15      1       30.04.2013
1885      69004331  47      8       14.11.2014
1886      18502539  20      9       22.06.2014
1887      43431127  32      7       09.07.2014
1888      46035354  7       6       13.01.2014
1889      61299006  4       10      24.08.2013
1890      18313973  47      6       30.07.2013
1891      44945370  48      4       30.05.2014
1892      70221448  38      3       08.04.2014
1893      46275169  14      9       05.02.2014
1894      41406541  35      2       19.04.2014
1895      47659271  19      7       17.05.2013
1896      42760976  24      6       30.12.2014
1897      40006000  51      2       25.01.2013
1898      62677802  55      9       11.10.2014
1899      45431086  51      6       03.01.2014
1900      45893322  22      3       30.09.2013
1901      12169463  10      7       23.12.2014
1902      41704631  9       10      07.10.2014
1903      40647307  51      9       16.08.2014
1904      64767451  8       7       14.03.2014
1905      67553135  9       7       15.04.2014
1906      15430481  49      10      16.03.2013
1907      65204212  6       8       14.07.2013
1908      42949114  51      2       14.11.2013
1909      16823842  43      10      27.08.2013
1910      45627045  29      3       23.08.2013
1911      70628041  58      2       30.08.2013
1912      10303499  10      6       21.03.2013
1913      68811730  37      3       19.07.2013
1914      65684346  1       7       18.08.2014
1915      63225425  33      4       30.01.2013
1916      61220540  37      4       18.08.2014
1917      00533882  56      7       09.12.2013
1918      67601235  32      1       28.03.2013
1919      47346531  35      6       24.11.2014
1920      70221766  31      9       23.06.2013
1921      64894916  60      5       12.10.2013
1922      14908786  4       5       07.07.2014
1923      63304651  31      4       12.04.2014
1924      41001991  21      3       24.09.2014
1925      26419572  33      7       20.11.2014
1926      68202130  42      3       17.03.2014
1927      16595998  19      9       03.12.2014
1928      45541108  32      1       06.04.2014
1929      47845473  39      5       02.11.2014
1930      40548872  9       5       12.12.2013
1931      44478771  5       9       01.02.2013
1932      40264211  20      5       09.09.2014
1933      41704631  12      9       23.10.2014
1934      18128149  9       9       07.04.2013
1935      70624933  28      6       13.08.2014
1936      44958781  56      2       26.08.2013
1937      45179131  9       3       09.02.2014
1938      40223451  1       7       08.03.2013
1939      40299473  60      10      14.06.2014
1940      66483603  49      3       27.10.2013
1941      25661400  17      9       22.02.2014
1942      66119855  42      5       09.03.2014
1943      65402599  43      4       08.07.2014
1944      40255085  50      1       13.04.2014
1945      66480850  28      3       26.04.2014
1946      25237471  23      5       24.02.2013
1947      18671250  33      3       03.05.2013
1948      46279008  47      7       15.06.2013
1949      68549407  55      5       22.07.2013
1950      47151579  45      9       19.05.2014
1951      45685983  19      4       28.07.2013
1952      48449512  10      6       22.12.2013
1953      65051034  14      8       25.02.2013
1954      72586761  29      8       27.10.2014
1955      45981728  24      2       15.06.2013
1956      13175874  48      1       22.11.2013
1957      14908786  19      10      12.04.2013
1958      63531739  9       9       02.11.2014
1959      42107598  33      10      18.01.2014
1960      72235799  29      3       11.01.2013
1961      42096693  9       8       07.10.2013
1962      68549407  60      8       06.07.2013
1963      43351816  15      7       13.06.2013
1964      40139972  46      7       21.08.2013
1965      49167570  50      6       17.10.2013
1966      40363660  1       2       26.07.2013
1967      62099604  16      2       09.11.2013
1968      68469519  4       6       28.07.2014
1969      67009468  37      3       29.05.2014
1970      14735229  10      6       31.03.2014
1971      40139972  10      8       14.04.2014
1972      65765036  38      4       30.01.2013
1973      46957910  48      10      16.12.2013
1974      64894916  8       1       14.03.2013
1975      41542851  32      2       14.03.2013
1976      64923924  25      2       19.03.2013
1977      11220058  26      2       08.01.2014
1978      49451316  15      10      29.06.2014
1979      70327076  11      6       07.12.2014
1980      16296923  55      9       26.11.2013
1981      49436759  49      1       19.06.2014
1982      64362906  33      8       04.06.2014
1983      63092077  56      9       06.08.2013
1984      64765661  49      6       15.07.2014
1985      66119855  36      5       26.04.2013
1986      25033433  56      5       23.11.2014
1987      45100110  41      10      06.05.2014
1988      62648756  51      8       04.09.2013
1989      40647307  60      1       19.04.2014
1990      65755448  35      7       23.07.2013
1991      16172027  5       8       27.12.2014
1992      13250116  58      8       06.10.2014
1993      15428826  41      5       25.03.2013
1994      62842226  30      10      01.03.2014
1995      63619067  54      6       01.10.2013
1996      18557791  18      9       23.07.2014
1997      17049849  24      7       07.12.2013
1998      43378218  34      9       06.01.2014
1999      65765036  50      5       22.12.2013
2000      41473167  42      7       19.03.2014
2001      44795599  39      3       09.03.2014
2002      16083423  16      10      16.12.2013
2003      10203265  42      2       09.09.2013
2004      65607589  48      6       16.10.2014
2005      64048616  45      6       24.09.2013
2006      11438916  19      6       19.10.2013
2007      40255085  40      7       07.10.2014
2008      45541108  10      6       31.08.2013
2009      67996603  44      1       10.07.2013
2010      40223451  5       3       30.01.2014
2011      25859358  39      1       01.10.2013
2012      16595998  55      9       11.09.2013
2013      60240440  9       2       25.06.2013
2014      42749557  15      3       28.08.2014
2015      43875386  13      8       01.03.2014
2016      42633087  40      2       31.07.2013
2017      46071768  3       8       02.04.2014
2018      45626421  13      1       19.06.2014
2019      46496041  57      6       17.09.2014
2020      11239751  34      6       11.05.2013
2021      18725627  17      6       09.10.2014
2022      62582062  1       8       22.11.2014
2023      19005628  26      2       06.08.2013
2024      72817372  8       1       12.11.2014
2025      60316012  18      8       04.04.2013
2026      42633087  52      5       13.09.2013
2027      40202381  29      6       03.03.2014
2028      65684346  38      1       23.07.2014
2029      25779729  19      6       01.01.2014
2030      61615048  55      5       08.12.2013
2031      68933089  11      6       23.07.2013
2032      45386731  2       1       11.12.2014
2033      16758277  60      2       26.02.2014
2034      41610954  31      3       09.12.2013
2035      68926251  55      3       11.07.2014
2036      46223843  44      5       08.12.2014
2037      72586761  27      10      22.01.2013
2038      47206578  40      6       14.11.2014
2039      46824596  11      9       04.08.2013
2040      41757513  22      4       21.01.2014
2041      18816291  2       4       16.07.2013
2042      68645546  41      8       03.09.2014
2043      43843662  29      10      14.02.2014
2044      72338601  21      9       09.06.2014
2045      47911476  36      5       31.10.2013
2046      66190998  16      8       08.05.2013
2047      00527815  23      2       21.04.2013
2048      14539888  46      8       11.03.2013
2049      45930601  12      3       22.07.2014
2050      49451316  46      8       04.11.2014
2051      44910193  48      9       03.03.2013
2052      67341802  57      8       18.10.2013
2053      16687981  5       2       09.12.2013
2054      13511297  17      3       20.08.2013
2055      41923006  37      5       06.01.2013
2056      67138225  27      2       04.01.2014
2057      46598073  18      4       03.09.2014
2058      13863614  58      2       29.11.2014
2059      42241839  31      5       01.01.2013
2060      42565251  24      3       11.03.2013
2061      62409573  10      2       14.08.2014
2062      18725082  20      3       23.10.2013
2063      16935411  46      10      14.05.2014
2064      15190706  47      1       11.12.2014
2065      16296923  60      1       31.01.2013
2066      48004448  39      7       23.08.2014
2067      65574125  53      10      02.08.2013
2068      46223843  3       2       08.03.2014
2069      48348716  54      3       20.09.2014
2070      40292266  54      4       30.06.2014
2071      18148166  23      5       22.04.2013
2072      70221766  20      1       15.01.2014
2073      63131820  28      1       30.10.2013
2074      70631506  46      2       21.08.2013
2075      11029889  54      2       15.09.2013
2076      65919301  31      9       13.09.2014
2077      62967991  9       2       16.03.2014
2078      46361898  43      3       04.01.2013
2079      68283962  45      7       14.09.2014
2080      43351816  15      2       03.12.2014
2081      65167490  53      2       04.05.2013
2082      14498804  9       7       11.01.2014
2083      62637550  42      9       22.11.2014
2084      49382411  8       8       28.12.2013
2085      44795599  49      7       30.11.2013
2086      64828255  9       3       07.09.2014
2087      15290280  46      5       29.03.2013
2088      43378218  42      7       26.02.2013
2089      60964731  59      5       06.03.2014
2090      46746503  4       1       19.02.2013
2091      47566361  47      1       15.03.2014
2092      48689092  43      1       14.08.2013
2093      63248000  38      2       18.02.2013
2094      63225425  5       3       22.08.2013
2095      49254227  21      7       13.04.2013
2096      63117631  38      2       11.05.2014
2097      49382411  55      4       26.12.2013
2098      69311609  51      3       16.02.2013
2099      40189929  24      5       08.05.2014
2100      16631854  35      2       23.10.2013
2101      26130495  47      9       26.05.2013
2102      12865320  13      6       21.08.2013
2103      43378218  22      8       21.05.2014
2104      10203265  9       8       15.11.2013
2105      66117127  38      5       16.05.2013
2106      45386731  13      4       12.05.2013
2107      10469958  4       7       10.05.2014
2108      62641697  15      8       20.05.2013
2109      63910403  56      10      27.11.2014
2110      68979711  8       1       20.07.2014
2111      40189929  56      7       19.06.2013
2112      70400652  4       1       30.03.2014
2113      16823842  23      10      26.10.2014
2114      65372468  27      8       28.02.2014
2115      11512857  59      2       05.10.2013
2116      40202381  35      4       23.04.2013
2117      47980745  28      9       08.12.2013
2118      14539888  13      8       01.10.2013
2119      67469968  20      2       01.08.2013
2120      13307878  21      9       09.06.2013
2121      16381769  59      1       09.02.2013
2122      43779034  5       6       14.09.2013
2123      44210973  30      1       01.06.2014
2124      67758684  46      3       19.06.2014
2125      18812961  42      9       29.04.2014
2126      45242674  15      5       08.07.2013
2127      70672245  14      4       15.05.2013
2128      44210973  34      1       09.11.2013
2129      40807606  33      6       28.03.2013
2130      46279008  24      3       27.07.2014
2131      15171884  9       8       14.02.2014
2132      15705820  54      7       29.08.2013
2133      15484921  38      1       03.03.2014
2134      65966163  5       3       16.10.2013
2135      72987898  20      8       18.04.2014
2136      71632336  16      8       18.01.2013
2137      15783197  28      3       11.01.2013
2138      72223464  42      1       13.01.2013
2139      64197735  25      7       01.07.2014
2140      41989732  3       1       21.12.2013
2141      61869325  54      9       28.08.2014
2142      46223843  3       9       31.10.2013
2143      65285191  52      5       08.03.2014
2144      43172881  53      9       10.03.2014
2145      17025451  18      1       20.04.2013
2146      12912115  60      7       24.11.2014
2147      63417413  3       6       13.07.2014
2148      16571002  42      8       16.05.2013
2149      16424701  10      5       11.09.2013
2150      47745916  23      2       31.08.2013
2151      69243417  28      6       23.04.2014
2152      63248000  33      10      01.05.2014
2153      43314988  12      6       06.10.2013
2154      44943890  23      6       25.12.2013
2155      15041298  21      2       26.01.2014
2156      45930601  47      7       17.05.2014
2157      49508903  2       8       21.04.2014
2158      45527083  33      4       15.01.2013
2159      62375512  25      8       08.09.2013
2160      60646233  12      3       28.06.2014
2161      49531689  2       9       22.08.2013
2162      69416419  26      3       25.06.2013
2163      42691494  30      7       18.03.2013
2164      25352784  14      3       07.05.2014
2165      40069419  1       3       08.03.2013
2166      40006000  35      8       31.10.2013
2167      67341802  39      9       07.10.2014
2168      64181979  54      4       11.02.2013
2169      69980128  6       2       09.03.2013
2170      40548872  36      6       11.08.2014
2171      12026611  20      4       11.06.2014
2172      64434729  50      6       14.08.2014
2173      47150793  50      5       14.11.2013
2174      64396606  9       8       17.05.2013
2175      60273615  28      9       03.05.2014
2176      41680570  1       7       22.01.2013
2177      69212228  26      1       03.05.2013
2178      64048616  44      5       11.09.2013
2179      45981728  7       5       06.08.2013
2180      15484921  13      8       21.06.2014
2181      16083423  48      7       23.06.2014
2182      65334132  25      9       23.03.2013
2183      61254096  34      7       12.04.2013
2184      64573699  10      7       26.11.2013
2185      42014328  23      10      22.02.2014
2186      68365799  8       7       22.12.2014
2187      16942361  13      6       11.06.2013
2188      41256751  13      5       03.10.2013
2189      64767451  19      5       19.11.2014
2190      67691943  55      7       11.11.2013
2191      62842226  3       8       21.04.2013
2192      16942361  20      7       11.12.2013
2193      63990474  34      9       07.09.2013
2194      25601474  24      9       28.08.2013
2195      13076434  57      6       24.03.2014
2196      40478823  49      4       20.05.2013
2197      45623911  54      3       07.12.2014
2198      63304651  18      1       21.11.2013
2199      61299006  45      7       05.05.2013
2200      42795745  34      3       18.05.2014
2201      62282948  35      9       21.05.2014
2202      62672070  17      6       10.05.2014
2203      61606880  49      6       09.02.2014
2204      42593883  44      6       22.02.2013
2205      42865301  20      3       08.02.2014
2206      16172027  41      8       19.04.2013
2207      69008574  29      5       12.05.2014
2208      12248011  9       4       05.06.2014
2209      64573699  6       6       26.04.2013
2210      15922626  27      7       22.08.2013
2211      67918654  14      8       01.02.2014
2212      43158048  4       10      17.07.2014
2213      44478771  46      10      04.12.2014
2214      47745916  14      2       29.10.2014
2215      65050614  29      1       05.04.2013
2216      69643911  3       10      25.04.2013
2217      25859358  28      8       15.08.2013
2218      47150793  60      3       08.11.2014
2219      14685914  4       10      09.05.2014
2220      12026611  15      2       07.09.2013
2221      46999787  56      7       24.12.2013
2222      18643701  30      2       12.11.2014
2223      46999787  56      3       28.01.2014
2224      68926251  37      6       11.12.2014
2225      13511297  9       4       21.06.2014
2226      25176200  52      5       23.12.2013
2227      60945427  29      5       16.06.2014
2228      70238812  34      10      06.10.2013
2229      68729804  21      5       23.12.2014
2230      63092077  58      1       04.10.2014
2231      12743038  34      2       01.06.2014
2232      13305956  9       6       25.07.2014
2233      42691494  37      2       20.01.2013
2234      45312281  11      5       21.07.2013
2235      62251007  29      7       18.09.2014
2236      44210973  60      6       17.12.2013
2237      11430508  13      8       28.01.2014
2238      16750292  31      1       24.09.2014
2239      87654326  55      9       19.01.2013
2240      60984074  56      8       01.02.2013
2241      65837380  56      5       06.09.2014
2242      61170313  12      7       23.02.2014
2243      66548284  24      4       01.02.2013
2244      18240607  23      2       07.06.2013
2245      65579283  10      4       04.12.2013
2246      41398025  26      8       29.03.2014
2247      48493864  42      8       09.12.2014
2248      64621651  17      3       10.03.2013
2249      45685983  47      8       03.03.2014
2250      45874689  13      7       11.05.2013
2251      48864293  16      7       05.06.2014
2252      45930601  55      2       09.07.2013
2253      61156299  58      9       01.01.2014
2254      47090022  53      10      22.10.2014
2255      16317645  48      7       27.09.2014
2256      48340961  11      6       09.03.2013
2257      64078248  22      5       12.12.2013
2258      69917060  20      9       16.02.2013
2259      42037662  38      4       23.04.2013
2260      14539888  12      4       02.12.2013
2261      60880423  49      1       05.11.2013
2262      62583701  4       10      05.01.2013
2263      48689092  28      4       23.03.2014
2264      44457651  27      8       18.05.2014
2265      69339856  22      4       22.09.2013
2266      41542851  47      5       11.12.2013
2267      70327912  30      1       22.03.2014
2268      64977544  44      2       14.07.2013
2269      41650727  41      2       16.06.2014
2270      13471279  51      8       13.08.2014
2271      60657405  29      1       06.07.2014
2272      48689092  2       10      16.11.2013
2273      16767799  10      10      12.03.2014
2274      68167563  24      7       22.09.2014
2275      63189151  13      1       24.08.2013
2276      61230774  42      2       29.10.2014
2277      12779385  34      2       25.08.2013
2278      60964731  2       4       08.08.2013
2279      70624933  21      4       05.08.2013
2280      65204212  7       3       25.06.2013
2281      42770149  20      8       30.09.2014
2282      49017641  41      8       20.08.2014
2283      43883991  48      8       30.01.2013
2284      60494158  56      4       10.05.2013
2285      60155141  8       6       17.02.2013
2286      25000306  44      10      19.10.2014
2287      49099868  34      10      10.04.2014
2288      60733667  59      9       06.02.2014
2289      48864293  31      6       27.05.2014
2290      18725627  21      1       01.06.2013
2291      62018116  40      2       10.05.2014
2292      48523461  29      5       04.11.2013
2293      11191511  54      4       24.12.2013
2294      45118728  22      2       24.04.2014
2295      43158048  53      5       03.03.2013
2296      67758684  35      7       05.06.2014
2297      13143352  40      3       26.05.2014
2298      46071768  49      10      26.05.2013
2299      16155271  26      7       04.10.2013
2300      44427662  59      1       31.12.2013
2301      41915259  42      2       16.07.2014
2302      62738208  34      2       25.03.2013
2303      67315224  52      1       08.05.2014
2304      16631854  53      6       30.09.2014
2305      61139629  10      10      04.03.2014
2306      69339856  47      2       08.12.2014
2307      44575491  5       3       26.02.2014
2308      44448058  29      3       11.04.2014
2309      44031416  26      5       27.12.2014
2310      14636077  41      2       23.07.2014
2311      10273026  25      9       19.03.2014
2312      69416419  14      8       13.01.2014
2313      68556578  43      2       10.08.2013
2314      49631501  2       1       09.09.2014
2315      66401488  56      5       06.06.2013
2316      12650927  58      2       22.03.2013
2317      15457664  22      7       24.08.2013
2318      69339856  19      2       08.11.2013
2319      60122102  3       7       29.07.2014
2320      70740551  40      4       20.01.2014
2321      13250116  46      5       13.07.2013
2322      49507559  54      7       16.12.2014
2323      25860674  19      5       22.06.2014
2324      43431127  44      7       31.10.2013
2325      25881761  41      4       27.01.2014
2326      62637550  27      2       05.09.2014
2327      13090411  45      7       14.05.2014
2328      12743038  17      10      13.10.2013
2329      63025086  21      7       07.05.2014
2330      18652930  48      6       27.04.2013
2331      42872782  11      4       04.06.2014
2332      47150793  37      3       03.10.2013
2333      40139972  3       9       06.07.2014
2334      15019772  19      10      20.06.2013
2335      40774805  48      9       11.09.2014
2336      13252682  26      3       30.08.2014
2337      25773143  26      4       15.07.2013
2338      14592274  24      10      01.02.2013
2339      42949114  28      2       13.02.2013
2340      67382339  24      5       21.02.2014
2341      41394101  29      3       09.01.2014
2342      64170349  19      10      26.03.2014
2343      15922626  55      9       14.02.2013
2344      41815084  41      8       11.04.2014
2345      71693998  36      2       04.10.2014
2346      66390257  53      9       02.12.2013
2347      44457651  45      10      26.07.2014
2348      44950063  60      1       25.08.2014
2349      61230774  29      9       24.09.2014
2350      48886122  15      10      05.10.2013
2351      14737001  38      9       13.03.2014
2352      64728773  19      9       07.05.2014
2353      63619067  45      10      29.05.2014
2354      68696311  5       3       02.07.2013
2355      45791571  16      2       04.06.2013
2356      44074042  52      7       06.10.2013
2357      25661400  57      10      20.08.2014
2358      19027036  32      9       14.12.2014
2359      66239010  18      6       01.07.2013
2360      65204212  18      3       14.07.2013
2361      18326765  14      7       23.04.2013
2362      62282948  58      7       07.02.2013
2363      44031416  47      3       20.07.2013
2364      43522238  6       7       24.04.2013
2365      10092871  49      2       27.12.2013
2366      66572843  15      8       08.05.2014
2367      42421616  44      7       24.01.2014
2368      15041298  4       6       09.03.2014
2369      42259380  36      9       12.10.2014
2370      60880423  21      7       27.10.2013
2371      72810483  3       1       13.01.2014
2372      41001991  60      5       23.09.2013
2373      40223451  19      7       13.06.2014
2374      65334132  53      10      21.01.2014
2375      67918654  7       10      30.09.2014
2376      18196225  41      6       05.10.2014
2377      65181484  10      10      30.05.2014
2378      41778952  57      8       26.05.2014
2379      49534203  29      9       29.10.2014
2380      61076953  4       3       25.08.2014
2381      17025451  13      2       16.10.2014
2382      62215787  11      9       05.07.2013
2383      42949114  16      5       24.12.2014
2384      13248537  24      5       12.07.2013
2385      13090411  14      1       20.01.2013
2386      62558439  60      3       15.09.2014
2387      13186558  21      9       24.04.2013
2388      63531739  51      8       17.10.2013
2389      12723304  14      1       30.06.2014
2390      62099604  47      6       08.03.2014
2391      63910403  25      3       13.03.2013
2392      70601411  38      9       30.06.2013
2393      61254096  11      1       25.03.2013
2394      15240088  25      9       11.05.2013
2395      63117631  33      1       11.08.2014
2396      60476800  1       5       21.03.2014
2397      65372468  6       4       23.05.2013
2398      62677802  44      10      29.12.2014
2399      41834658  33      7       12.12.2014
2400      65966163  13      10      23.05.2014
2401      40255085  6       6       04.02.2013
2402      49017641  56      6       25.10.2013
2403      60155141  13      6       29.12.2013
2404      44376693  47      9       01.08.2014
2405      13004654  37      2       25.01.2013
2406      62738208  58      2       22.12.2013
2407      47745916  20      10      15.09.2013
2408      16610975  1       1       31.10.2013
2409      15777383  43      7       22.10.2013
2410      64333213  53      8       02.07.2014
2411      46822992  6       7       07.07.2013
2412      44557418  9       10      27.10.2014
2413      43172881  44      5       02.07.2014
2414      25170914  43      6       12.02.2014
2415      18196225  49      8       17.07.2014
2416      60733667  38      10      27.12.2014
2417      40202381  18      9       08.06.2014
2418      16296923  12      3       13.11.2014
2419      13060104  48      4       28.03.2013
2420      71613498  4       2       07.11.2013
2421      62251007  25      3       22.08.2013
2422      61493686  23      5       21.11.2014
2423      25510057  9       2       12.05.2014
2424      42949114  32      6       31.07.2014
2425      64977544  12      1       18.11.2014
2426      69643911  46      7       22.02.2013
2427      10273026  41      6       20.06.2013
2428      41817311  44      2       16.02.2014
2429      49631501  57      6       10.06.2013
2430      26030659  12      3       25.11.2014
2431      63531739  31      7       20.12.2014
2432      44478771  41      8       07.06.2014
2433      65574125  13      7       29.01.2014
2434      42204909  26      10      08.12.2013
2435      61809039  14      9       03.06.2013
2436      65006968  26      6       14.06.2014
2437      60646233  50      7       15.01.2013
2438      73007447  54      2       17.12.2014
2439      00063207  55      2       24.12.2013
2440      25757253  58      9       29.03.2013
2441      26584034  45      9       02.04.2013
2442      70171475  44      5       11.02.2014
2443      68001975  59      7       13.05.2014
2444      25137409  31      6       21.01.2013
2445      43575857  20      7       06.09.2014
2446      44970919  48      1       29.10.2013
2447      67996603  45      6       11.05.2013
2448      44859074  58      9       28.03.2013
2449      49451316  37      7       27.12.2013
2450      70301263  25      6       04.11.2013
2451      62247808  20      8       01.10.2013
2452      18652930  31      8       16.09.2014
2453      62648756  5       1       12.11.2013
2454      45626421  60      4       10.08.2013
2455      65579283  56      7       04.06.2013
2456      68926251  36      5       13.01.2014
2457      16424701  41      1       18.08.2013
2458      12723304  28      7       14.07.2014
2459      12422762  48      10      19.08.2013
2460      70108064  10      2       12.07.2014
2461      45791571  19      4       09.09.2014
2462      25884824  38      8       30.12.2014
2463      26016516  25      1       06.10.2013
2464      49508903  1       10      14.06.2014
2465      49383205  33      3       13.03.2014
2466      12613533  11      5       29.09.2014
2467      60685646  42      5       29.05.2013
2468      25860674  30      8       04.04.2013
2469      61615048  38      3       27.05.2013
